0	4095
1	2
2	4
3	6
4	8
5	10
6	12
7	14
8	16
9	18
10	20
11	22
12	24
13	26
14	28
15	30
16	32
17	34
18	36
19	38
20	40
21	42
22	44
23	46
24	48
25	50
26	52
27	54
28	56
29	58
30	60
31	62
32	64
33	66
34	68
35	70
36	72
37	74
38	76
39	78
40	80
41	82
42	84
43	86
44	88
45	90
46	92
47	94
48	96
49	98
50	100
51	102
52	104
53	106
54	108
55	110
56	112
57	114
58	116
59	118
60	120
61	122
62	124
63	126
64	128
65	130
66	132
67	134
68	136
69	138
70	140
71	142
72	144
73	146
74	148
75	150
76	152
77	154
78	156
79	158
80	160
81	162
82	164
83	166
84	168
85	170
86	172
87	174
88	176
89	178
90	180
91	182
92	184
93	186
94	188
95	190
96	192
97	194
98	196
99	198
100	200
101	202
102	204
103	206
104	208
105	210
106	212
107	214
108	216
109	218
110	220
111	222
112	224
113	226
114	228
115	230
116	232
117	234
118	236
119	238
120	240
121	242
122	244
123	246
124	248
125	250
126	252
127	254
128	256
129	258
130	260
131	262
132	264
133	266
134	268
135	270
136	272
137	274
138	276
139	278
140	280
141	282
142	284
143	286
144	288
145	290
146	292
147	294
148	296
149	298
150	300
151	302
152	304
153	306
154	308
155	310
156	312
157	314
158	316
159	318
160	320
161	322
162	324
163	326
164	328
165	330
166	332
167	334
168	336
169	338
170	340
171	342
172	344
173	346
174	348
175	350
176	352
177	354
178	356
179	358
180	360
181	362
182	364
183	366
184	368
185	370
186	372
187	374
188	376
189	378
190	380
191	382
192	384
193	386
194	388
195	390
196	392
197	394
198	396
199	398
200	400
201	402
202	404
203	406
204	408
205	410
206	412
207	414
208	416
209	418
210	420
211	422
212	424
213	426
214	428
215	430
216	432
217	434
218	436
219	438
220	440
221	442
222	444
223	446
224	448
225	450
226	452
227	454
228	456
229	458
230	460
231	462
232	464
233	466
234	468
235	470
236	472
237	474
238	476
239	478
240	480
241	482
242	484
243	486
244	488
245	490
246	492
247	494
248	496
249	498
250	500
251	502
252	504
253	506
254	508
255	510
256	512
257	514
258	516
259	518
260	520
261	522
262	524
263	526
264	528
265	530
266	532
267	534
268	536
269	538
270	540
271	542
272	544
273	546
274	548
275	550
276	552
277	554
278	556
279	558
280	560
281	562
282	564
283	566
284	568
285	570
286	572
287	574
288	576
289	578
290	580
291	582
292	584
293	586
294	588
295	590
296	592
297	594
298	596
299	598
300	600
301	602
302	604
303	606
304	608
305	610
306	612
307	614
308	616
309	618
310	620
311	622
312	624
313	626
314	628
315	630
316	632
317	634
318	636
319	638
320	640
321	642
322	644
323	646
324	648
325	650
326	652
327	654
328	656
329	658
330	660
331	662
332	664
333	666
334	668
335	670
336	672
337	674
